Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ADB,,,Дробленый песок,"Неорганический сыпучий материал с крупностью зерен до 4 мм, полученный из отсева дробления горных пород при производстве щебня и отходов металлургической и других видов промышленности, а также при дроблении горных пород и гравия с использованием специального дробильно-размольного оборудования","ГОСТ 32730-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду материала,,"08.12.11.130.02.3.01.05-0162
08.12.11.130.02.3.01.05-0163
08.12.11.130.02.3.01.05-0164
08.12.11.130.02.3.01.05-0165
08.12.11.130.02.3.01.05-0166
08.12.11.130.02.3.01.05-0167
08.12.11.130.02.3.01.05-0168
08.12.11.130.02.3.01.05-0169
08.12.11.130.02.3.01.05-0170
08.12.11.130.02.3.01.05-0171
08.12.11.130.02.3.01.05-0172
08.12.11.130.02.3.01.05-0173
08.12.11.130.02.3.01.05-0174
08.12.11.130.02.3.01.05-0175
08.12.11.130.02.3.01.05-0176
08.12.11.130.02.3.01.05-0177
08.12.11.130.02.3.01.05-0178
08.12.11.130.02.3.01.05-0179
08.12.11.130.02.3.01.05-0180
08.12.11.130.02.3.01.05-0181
08.12.11.130.02.3.01.05-0182
08.12.11.130.02.3.01.05-0183
08.12.11.130.02.3.01.05-0184
08.12.11.130.02.3.01.05-0185
08.12.11.130.02.3.01.05-0186
08.12.11.130.02.3.01.05-0187
08.12.11.130.02.3.01.05-0188
08.12.11.130.02.3.01.05-0189
08.12.11.130.02.3.01.05-0190
08.12.11.130.02.3.01.05-0191
08.12.11.130.02.3.01.05-0192
08.12.11.130.02.3.01.05-0193
08.12.11.130.02.3.01.05-0194
08.12.11.130.02.3.01.05-0195
08.12.11.130.02.3.01.05-0196
08.12.11.130.02.3.01.05-0197
08.12.11.130.02.3.01.05-0198
08.12.11.130.02.3.01.05-0199
08.12.11.130.02.3.01.05-0200
08.12.11.130.02.3.01.05-0201
08.12.11.130.02.3.01.05-0202
08.12.11.130.02.3.01.05-0203
08.12.11.130.02.3.01.05-0204
08.12.11.130.02.3.01.05-0205
08.12.11.130.02.3.01.05-0206
08.12.11.130.02.3.01.05-0207
08.12.11.130.02.3.01.05-0208
08.12.11.130.02.3.01.05-0209
08.12.11.130.02.3.01.05-0210
08.12.11.130.02.3.01.05-0211
08.12.11.130.02.3.01.05-0212
08.12.11.130.02.3.01.05-0213
08.12.11.130.02.3.01.05-0214
08.12.11.130.02.3.01.05-0215
08.12.11.130.02.3.01.05-0216
08.12.11.130.02.3.01.05-0217
08.12.11.130.02.3.01.05-0218
08.12.11.130.02.3.01.05-0219
08.12.11.130.02.3.01.05-0220
08.12.11.130.02.3.01.05-0221
08.12.11.130.02.3.01.05-0222
08.12.11.130.02.3.01.05-0223
08.12.11.130.02.3.01.05-0224
08.12.11.130.02.3.01.05-0225
08.12.11.130.02.3.01.05-0226
08.12.11.130.02.3.01.05-0227
08.12.11.130.02.3.01.05-0228
08.12.11.130.02.3.01.05-0229
08.12.11.130.02.3.01.05-0230
08.12.11.130.02.3.01.05-0231
08.12.11.130.02.3.01.05-0232
08.12.11.130.02.3.01.05-0233
08.12.11.130.02.3.01.05-0234
08.12.11.130.02.3.01.05-0235
08.12.11.130.02.3.01.05-0236
08.12.11.130.02.3.01.05-0237
08.12.11.130.02.3.01.05-0238
08.12.11.130.02.3.01.05-0239",СТ 10 10 31,
,,,,ADB010,Песок из отсевов дробления,"Неорганический сыпучий материал с крупностью зерен до 5 мм, полученный при производстве щебня","ГОСТ 31424-2010
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.12.11.130.02.3.01.05-0020
08.12.11.130.02.3.01.05-0022
08.12.11.130.02.3.01.05-0023
08.12.11.130.02.3.01.05-0024
08.12.11.130.02.3.01.05-0025
08.12.11.130.02.3.01.05-0026
08.12.11.130.02.3.01.05-0027
08.12.11.130.02.3.01.05-0028
08.12.11.130.02.3.01.05-0029
08.12.11.130.02.3.01.05-0030
08.12.11.130.02.3.01.05-0031
08.12.11.130.02.3.01.05-0032
08.12.11.130.02.3.01.05-0033
08.12.11.130.02.3.01.05-0034
08.12.11.130.02.3.01.05-0036
08.12.11.130.02.3.01.05-0038
08.12.11.130.02.3.01.05-0039
08.12.11.130.02.3.01.05-0041
08.12.11.130.02.3.01.05-0042
08.12.11.130.02.3.01.05-0044
08.12.11.130.02.3.01.05-0045
08.12.11.130.02.3.01.05-0047
08.12.11.130.02.3.01.05-0048
08.12.11.130.02.3.01.05-0050
08.12.11.130.02.3.01.05-0051
08.12.11.130.02.3.01.05-0053
08.12.11.130.02.3.01.05-0054
08.12.11.130.02.3.01.05-0056
08.12.11.130.02.3.01.05-0058
08.12.11.130.02.3.01.05-0059
08.12.11.130.02.3.01.05-0061
08.12.11.130.02.3.01.05-0062
08.12.11.130.02.3.01.05-0064
08.12.11.130.02.3.01.05-0065
08.12.11.130.02.3.01.05-0067
08.12.11.130.02.3.01.05-0068
08.12.11.130.02.3.01.05-0070
08.12.11.130.02.3.01.05-0071
08.12.11.130.02.3.01.05-0073
08.12.11.130.02.3.01.05-0074
08.12.11.130.02.3.01.05-0076
08.12.11.130.02.3.01.05-0078
08.12.11.130.02.3.01.05-0079
08.12.11.130.02.3.01.05-0081
08.12.11.130.02.3.01.05-0082
08.12.11.130.02.3.01.05-0084
08.12.11.130.02.3.01.05-0085
08.12.11.130.02.3.01.05-0087
08.12.11.130.02.3.01.05-0088
08.12.11.130.02.3.01.05-0090
08.12.11.130.02.3.01.05-0091
08.12.11.130.02.3.01.05-0093
08.12.11.130.02.3.01.05-0094
08.12.11.130.02.3.01.05-0096
08.12.11.130.02.3.01.05-0098
08.12.11.130.02.3.01.05-0099
08.12.11.130.02.3.01.05-0101
08.12.11.130.02.3.01.05-0102
08.12.11.130.02.3.01.05-0104
08.12.11.130.02.3.01.05-0105
08.12.11.130.02.3.01.05-0107
08.12.11.130.02.3.01.05-0108
08.12.11.130.02.3.01.05-0110
08.12.11.130.02.3.01.05-0111
08.12.11.130.02.3.01.05-0113
08.12.11.130.02.3.01.05-0114
08.12.11.130.02.3.01.05-0116
08.12.11.130.02.3.01.05-0117
08.12.11.130.02.3.01.05-0118
08.12.11.130.02.3.01.05-0119
08.12.11.130.02.3.01.05-0120
08.12.11.130.02.3.01.05-0121
08.12.11.130.02.3.01.05-0122
08.12.11.130.02.3.01.05-0124
08.12.11.130.02.3.01.05-0125
08.12.11.130.02.3.01.05-0126
08.12.11.130.02.3.01.05-0127
08.12.11.130.02.3.01.05-0128
08.12.11.130.02.3.01.05-0129
08.12.11.130.02.3.01.05-0130
08.12.11.130.02.3.01.05-0132
08.12.11.130.02.3.01.05-0133
08.12.11.130.02.3.01.05-0134
08.12.11.130.02.3.01.05-0135
08.12.11.130.02.3.01.05-0136
08.12.11.130.02.3.01.05-0137
08.12.11.130.02.3.01.05-0138
08.12.11.130.02.3.01.05-0140
08.12.11.130.02.3.01.05-0141
08.12.11.130.02.3.01.05-0142
08.12.11.130.02.3.01.05-0143
08.12.11.130.02.3.01.05-0144
08.12.11.130.02.3.01.05-0145
08.12.11.130.02.3.01.05-0146
08.12.11.130.02.3.01.05-0148
08.12.11.130.02.3.01.05-0149
08.12.11.130.02.3.01.05-0150
08.12.11.130.02.3.01.05-0151
08.12.11.130.02.3.01.05-0152
08.12.11.130.02.3.01.05-0153
08.12.11.130.02.3.01.05-0154
08.12.11.130.02.3.01.05-0156
08.12.11.130.02.3.01.05-0157
08.12.11.130.02.3.01.05-0158
08.12.11.130.02.3.01.05-0159
08.12.11.130.02.3.01.05-0160
08.12.11.130.02.3.01.05-0161",,
,,ADC,,,Фракционированный песок,"Природный неорганический сыпучий материал, разделенный на две или более фракций с использованием специального оборудования","ГОСТ 8736-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,08.12.11.110.02.3.01.04-0001,,
,,ADD,,,"Песок, полученный путем обжига",,,По виду материала,,,,
,,,,ADD010,Вспученный перлитовый песок,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,23.99.19.190.12.2.03.04-0031,СТ 10 14 20 07 04,
,,,,ADD020,Диатомитовая обожженная крошка,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,СТ 10 14 20 07 05,
,,,,ADD030,Песок керамзитовый,"Заполнитель с размером зерен от 0,16 до 5 мм, полученный при обжиге мелких фракций полуфабриката или дроблении керамзита","ГОСТ 32026-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,02.3.01.08,СТ 10 10 31 20,
,,,,ADD040,Песок термолитовый,"Искусственный пористый заполнитель с насыпной плотностью не более 1200 кг/м и размерами зерен менее 5 мм, получаемый при обжиге кремнистых пород мелкой фракции или дроблением термолитовых гравия и щебня и имеющий стабильную структуру",ГОСТ Р 56507-2015,,,,,
,,,,ADD050,Песок шунгизитовый,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,,СТ 10 10 31 30,
,,,,ADD060,Песок аглопоритовый,"Искусственный пористый заполнитель, получаемый при обжиге путем агломерации шихты или гранул полуфабриката из золы ТЭС","ГОСТ 33928-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 31 10,
,,,,ADD070,Песок шлакопемзовый,"Материал, являющийся отсевом фракции от 0 до 5 мм получаемый при дроблении шлаковой пемзы на фракционированный щебень. Шлаковая пемза имеет пористую ноздреватую структуру",ОДМ 218.3.087-2017,,,,,
,AE,,,,Глинистые фракции,,,По виду материала,,,,
,,AEA,,,Глина,"Связный минеральный грунт, обладающий числом пластичности > 17","ГОСТ 25100-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,02.1.01.01,,
,,,,AEA010,Глины тугоплавкие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.12.22.113.02.1.01.01-1006,,
,,,,AEA020,Глины легкоплавкие,,,,,,,
,,AEB,,,Суглинок,Смесь песка (до 40%) с глиной (до 30%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,,,Суглинки обычно включают примеси углекислого кальция и гидроокислов железа.
,,AEC,,,Супесь,Смесь песка (90%-97%) с глиной (3%-10%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,,,
