c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0031,,,,,Разряд командно-диспетчерского пункта,BN__0031,,,Из списка,"I 
II 
III 
IV 
V
VI",,,,"<CCo>
<CEn>",,,KSI210002120
,,,,0032,,,,,Тип больницы,BN__0032,,,Из списка,"общая 
детская",,,,"<CCo>
<CEn>",,,KSI210002121
,,,,0033,,,,,Тип дорожной одежды,BN__0033,,СП 34.13330.2021,Из списка,"капитальный 
облегченный 
переходный 
низший",,,,"<CCo>
<CEn>",,,KSI210002122
,,,,0034,,,,,Тип сооружения,BN__0034,,,Из списка,"банкет защитный 
завеса шпунтовая 
запруда 
полузапруда 
пляж искусственный 
набережная 
покрытие из бетонных блоков
покрытие из ячеистых блоков 
каменная наброска",,,,"<CCo>
<CEn>",,,KSI210002123
,,,,0035,,,,,Тип стоянки,BN__0035,,СП 113.13330.2023,Из списка,"механизированная 
многорядная 
закрытого типа
открытого типа
обвалованная 
полумеханизированная ",,,,"<CCo>
<CEn>
<RZo>",,,KSI210002124
,,,,0036,,,,,Тип шпал,BN__0036,,,Из списка,"железобетонные 
деревянные",,,,"<CCo>
<CEn>",,,KSI210002125
,,,,0037,,,,,ОКС блокированной застройки,BN__0037,,СП 55.13330.2016 ,Логический,,,,,"<CCo>
<CEn>",,,KSI210002141
,,,,0038,,,,,Соответствие здания зеленому стандарту,BN__0038,,"ГОСТ Р 70346-2022
СП 54.13330.2022",Логический,,,,,"<CCo>
<CEn>",,,KSI210002142
,,U,,,,,Пользовательские,,,BNU_,,,,,,,,,,,KSI210000466
,L,,,,,Расположение,,,,BL__,,,,,,,,,,,KSI210000467
,,,,0001,,,,,Степень сейсмической опасности района,BL__0001,"Оценка сейсмической опасности, которая соответствует баллам шкалы MSK-64 и вероятности возможного превышения 10%, 5% и 1% (или 90%, 95% и 99% непревышения) расчетной сейсмической интенсивности в каждом из населенных пунктов РФ в течение 50 лет. ",СП 14.13330.2018,Из списка,"A
B
C",,,,"<CCo>
<CEn>",,,KSI210000468
,,,,0002,,,,,Сейсмичность района строительства,BL__0002,"Район с установленными и возможными очагами землетрясений, вызывающими на площадке строительства сейсмические воздействия интенсивностью 6 и более баллов.",СП 14.13330.2018,Из списка,"1
2
3
4
5
6
7
8
9",,,,"<CCo>
<CEn>",,,KSI210000469
,,,,0003,,,,,Расчетная сейсмичность площадки,BL__0003,Интенсивность расчетных сейсмических воздействий на площадке строительства с соответствующими периодами повторяемости за нормативный срок,СП 14.13330.2018,Из списка,"1
2
3
4
5
6
7
8
9",,,,"<CCo>
<CEn>",,,KSI210000470
,,U,,,,,Пользовательские,,,BLU_,,,,,,,,,,,KSI210000471
,H,,,,,Время и стоимость,,,,BH__,,,,,,,,,,,KSI210000472
,,,,0001,,,,,Источник финансирования,BH__0001,,,Из списка,"Федеральный бюджет
Бюджет субъекта РФ
Местный бюджет
Бюджет территориального государственного внебюджетного фонда
Бюджет государственного внебюджетного фонда РФ
Средства юридических лиц, указанных в части 2 статьи 8_3 ГрК РФ
Средства частного инвестора",,,,"<CCo>
<CEn>",,,KSI210000473
,,,,0002,,,,,Продолжительность строительства,BH__0002,Период от даты начала выполнения внутриплощадочных подготовительных работ до даты ввода объекта в эксплуатацию.,СНиП 1.04.03-85*,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000474
,,,,0003,,,,,Расчетный срок службы,BH__0003,Установленный в строительных нормах или в задании на проектирование период использования строительного объекта по назначению до капитального ремонта и (или) реконструкции с предусмотренным техническим обслуживанием. Расчетный срок службы отсчитывается от начала эксплуатации объекта или возобновления его эксплуатации после капитального ремонта или реконструкции,"ГОСТ 27751-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 30 17,,"<CCo>
<CEn>",,,KSI210000475
,,,,0004,,,,,Стоимость строительства,BH__0004,"Сумма сметных цен на затраты труда, сметных цен на эксплуатацию машин и механизмов, сметных цен на материалы, изделия, конструкции, оборудование и цен услуг на перевозку грузов для строительства при определении сметной стоимости строительства, реконструкции и капитального ремонта объектов капитального строительства.
",Приказ Минстроя России от 08.02.2017 N 77/пр,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000476
,,,,0005,,,,,Год капитального ремонта,BH__0005,Год проведения капитального ремонта здания или части здания,СП 333.1325800.2020,Дата,,,,,"<CCo>
<CEn>",,,KSI210000477
,,,,0006,,,,,Год постройки,BH__0006,Год постройки здания,СП 333.1325800.2020,Дата,,,,,"<CCo>
<CEn>",,,KSI210000478
,,,,0007,,,,,Год проектирования,BH__0007,Год окончания проектирования здания,СП 333.1325800.2020,Дата,,,,,"<CCo>
<CEn>",,,KSI210000479
,,,,0008,,,,,Год строительства,BH__0008,Год начала строительства здания,СП 333.1325800.2020,Дата,,,,,"<CCo>
<CEn>",,,KSI210000480
,,,,0009,,,,,Периодичность проведения текущего и капитального ремонтов зданий,BH__0009,"Периодичность проведения текущего и капитального ремонтов зданий согласно СП 255.1325800.2016 ""Здания и сооружения. Правила эксплуатации. Основные положения""",СП 333.1325800.2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000481
,,,,0010,,,,,"Мощность предприятия, годовой выпуск продукции в стоимостном выражении",BH__0010,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000482
,,,,0011,,,,,"Мощность предприятия, годовой выпуск продукции в натуральном выражении",BH__0011,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000483
,,,,0012,,,,,Стоимость 1 кв. м общей площади,BH__0012,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000484
,,,,0013,,,,,Стоимость 1 кв. м жилой площади,BH__0013,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000485
,,,,0014,,,,,Средняя стоимость одной квартиры,BH__0014,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000486
,,,,0015,,,,,Срок окупаемости,BH__0015,,"Мазур, Шапиро, Гинзбург. Инвестиционно-строительный инжиниринг. 2010",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000487
,,U,,,,,Пользовательские,,,BHU_,,,,,,,,,,,KSI210000488
,Q,,,,,Количества,,,,BQ__,,,,,,,,,,,KSI210000489
,,,,0001,,,,,Этажность надземная,BQ__0001,Количество надземных этажей здания (сооружения),"СП 333.1325800.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 35 13,,<CEn>,,,KSI210000490
,,,,0002,,,,,Этажность подземная,BQ__0002,Количество подземных этажей здания (сооружения),"СП 333.1325800.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 35 14,,<CEn>,,,KSI210000491
,,,,0003,,,,,Количество пожарных отсеков,BQ__0003,"Количество частей здания и сооружения, выделенных противопожарными стенами и противопожарными перекрытиями или покрытиями, с пределами огнестойкости конструкции, обеспечивающими нераспространение пожара за границы пожарного отсека в течение всей продолжительности пожара",Федеральный закон от 22.07.2008 N 123-ФЗ,Числовой,,,,,<CEn>,,,KSI210000492
,,,,0004,,,,,Количество секций,BQ__0004,"Количество зданий или частей жилого здания (отделенных от других частей глухой стеной) с квартирами (жилыми ячейками общежитий), имеющими выход на одну лестничную клетку непосредственно или через коридор","МГСН 3.01-01
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 25 14,,<CEn>,,,KSI210000493
,,,,0005,,,,,Количество этажей,BQ__0005,"Общая сумма всех этажей, включая подземный, подвальный, цокольный, надземный, технический, мансардный и др.",СП 118.13330.2022,Числовой,,,,,<CEn>,,,KSI210000494
,,,,0006,,,,,Количество квартир,BQ__0006,"Общее количество квартир, в том числе 1-комнатных, 2-комнатных, -комнатных, 3-комнатных и т.д.",Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Числовой,,,"ПР 20 20 17
ПР 20 20 18
ПР 20 20 19
ПР 20 20 20
ПР 20 20 21
ПР 20 20 22",,"<CCo>
<CEn>",,,KSI210000495
,,,,0007,,,,,Количество этапов строительства,BQ__0007,"Строительство или реконструкция объекта капитального строительства из числа объектов капитального строительства, планируемых к строительству, реконструкции на одном земельном участке, если такой объект может быть введен в эксплуатацию и эксплуатироваться автономно (то есть независимо от строительства или реконструкции иных объектов капитального строительства на этом земельном участке), а также строительство или реконструкция части объекта капитального строительства, которая может быть введена в эксплуатацию и эксплуатироваться автономно (то есть независимо от строительства или реконструкции иных частей этого объекта капитального строительства)",Постановление Правительства РФ от 05.03.2007 N 145,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000496
,,,,0008,,,,,Вместимость стоянок автомобилей,BQ__0008,Рассчитывается в соответствии с габаритами машино-мест и размерами проездов,"СП 113.13330.2023
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 10 21,,"<CCo>
<CEn>",,,KSI210000497
,,,,0009,,,,,Лимит энергоснабжения,BQ__0009,,ЦГЭ.ЦИМ.ЛО-1.0,,,,,,,,,KSI210000498
,,,,0010,,,,,Лимит газопотребления,BQ__0010,,ЦГЭ.ЦИМ.ЛО-1.0,,,,,,,,,KSI210000499
,,,,0011,,,,,Количество персонала,BQ__0011,,ЦГЭ.ЦИМ-2.1,,,,,,,,,KSI210000500
,,,,0013,,,,,Количество однокомнатных квартир,BQ__0013,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002052
,,,,0014,,,,,Количество двухкомнатных квартир,BQ__0014,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002053
,,,,0015,,,,,Количество трехкомнатных квартир,BQ__0015,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002054
,,,,0016,,,,,Количество четырехкомнатных и более квартир,BQ__0016,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002055
,,,,0017,,,,,Количество квартир-студий,BQ__0017,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002056
,,,,0018,,,,,Количество рабочих мест,BQ__0018,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002057
,,,,0019,,,,,"Вместимость здания, сооружения",BQ__0019,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002058
,,,,0020,,,,,Количество развязок в разных уровнях,BQ__0020,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002062
,,,,0021,,,,,Количество полос автомобильной дороги,BQ__0021,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002063
,,,,0022,,,,,Количество анодных заземлителей,BQ__0022,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002085
,,,,0023,,,,,Количество главных железнодорожных путей,BQ__0023,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002086
,,,,0024,,,,,Количество залов,BQ__0024,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002087
,,,,0025,,,,,Количество зрительских мест,BQ__0025,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002088
,,,,0026,,,,,Количество кремаций,BQ__0026,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002089
,,,,0027,,,,,Количество летных полос,BQ__0027,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002090
,,,,0028,,,,,Количество островков налива,BQ__0028,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002091
,,,,0029,,,,,Количество постов,BQ__0029,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002092
,,,,0030,,,,,Количество преобразователей катодной защиты,BQ__0030,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002093
,,,,0031,,,,,Количество стояночных мест,BQ__0031,"Количество стояночных мест воздушного, метрополитена , городского и прочего транспорта кроме автотранспорта",,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002094
,,,,0032,,,,,Количество сцен ,BQ__0032,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002095
,,,,0033,,,,,Количество установок,BQ__0033,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002096
,,,,0034,,,,,Количество швартовых мест,BQ__0034,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002097
,,,,0035,,,,,Количество электродов,BQ__0035,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002098
,,,,0036,,,,,Количество бригад,BQ__0036,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002112
,,U,,,,,Пользовательские,,,BQU_,,,,,,,,,,,KSI210000502
,P,,,,,Физические,,,,BP__,,,,,,,,,,,KSI210000503
,,G,,,,,Геометрические,,,BPG_,,,,,,,,,,,KSI210000504
,,,,0001,,,,,Высота архитектурная,BPG_0001,"Высота принимаемая согласно требований ТР ""О безопасности зданий и сооружений""","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 35 15,,<CEn>,,,KSI210000505
,,,,0002,,,,,Общая площадь здания,BPG_0002,"Сумма площадей всех этажей (включая технические, мансардный, цокольный и подвальные)","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 10 14,,<CEn>,,,KSI210000506
,,,,0003,,,,,Общая площадь квартир,BPG_0003,"Сумма площадей отапливаемых помещений (жилых, подсобных и дополнительных) без учета неотапливаемых помещений (лоджий, балконов, веранд, террас, холодных кладовых и тамбуров)",СП 31-107-2004,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000507
,,,,0004,,,,,Отметка нуля,BPG_0004,"Отметка, условно принятая за начало отсчёта","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 40 10,,<CEn>,,,KSI210000508
,,,,0005,,,,,Площадь застройки,BPG_0005,"Площадь горизонтального сечения по внешнему обводу здания по цоколю, включая выступающие части (входные площадки и ступени, веранды, террасы, приямки, входы в подвал). ","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 10 12,,"<CCo>
<CEn>",,,KSI210000509
,,,,0006,,,,,Площадь земельного участка,BPG_0006,"Площадь части поверхности земли, в отношении которой проведены необходимые юридические процедуры, включающие землеустройство, составление плана земельного участка, включение сведений о нем в государственный кадастр недвижимости с присвоением участку индивидуального кадастрового номера.","СП 53.13330.2019
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 10 10,,"<CCo>
<CEn>",,,KSI210000510
,,,,0007,,,,,Полезная площадь,BPG_0007,"Сумма площадей всех размещаемых в нем помещений, а также балконов и антресолей в залах, фойе и т.п., за исключением лестничных клеток, лифтовых шахт, внутренних открытых лестниц и пандусов и шахт и помещений (пространств) для инженерных коммуникаций","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 20 10 15
ПР 60 15 10 22",,"<CCo>
<CEn>",,,KSI210000511
,,,,0008,,,,,Предельная площадь ОКС,BPG_0008,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000512
,,,,0009,,,,,Предельная стоимость ОКС,BPG_0009,Предполагаемая стоимость объекта капитального строительства согласно паспорту инвестиционного проекта,Постановление Правительства РФ от 11.08.2014 N 790,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000513
,,,,0010,,,,,Расчетная (нормируемая) площадь,BPG_0010,"Сумма площадей входящих в здание помещений, за исключением: коридоров, тамбуров, переходов, лестничных клеток, внутренних открытых лестниц и пандусов; лифтовых шахт; помещений и пространств, предназначенных для размещения инженерного оборудования и инженерных сетей; пространствапод наклонной поверхностью ниже 1,5 м","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 20 10 19
ПР 60 15 10 23",,"<CCo>
<CEn>",,,KSI210000514
,,,,0011,,,,,Строительный объем ,BPG_0011,"Сумма строительного объема выше отметки 0.00 (надземная часть) и строительного объема ниже отметки 0.00 (подземная часть), измеряемого до уровня пола последнего подземного этажа","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,"ПР 10 35 10
ПР 10 35 12",,"<CCo>
<CEn>",,,KSI210000515
,,,,0012,,,,,Торговая площадь,BPG_0012,"Сумма площадей торговых залов, помещений приема и выдачи заказов, зала кафетерия, площадей для дополнительных услуг покупателям","СП 118.13330.2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 20 40 10,,"<CCo>
<CEn>",,,KSI210000516
,,,,0013,,,,,Высота пожарно-техническая,BPG_0013,"Высота расположения верхнего этажа, не считая верхнего технического этажа, определяемая:
- максимальной разностью отметок поверхности проезда для пожарных машин и нижней границы открывающегося проема (окна) в наружной стене;
- полусуммой отметок пола и потолка этажа при отсутствии открывающихся окон (проемов)","СП 1.13130.2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Числовой,,,ПР 10 35 16,,"<CCo>
<CEn>",,,KSI210000517
,,,,0014,,,,,Длина по гребню,BPG_0014,Длина по гребню гидротехнического сооружения,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002059
,,,,0015,,,,,Длина стрелковой галереи,BPG_0015,,,Числовой,,,,,"<CCo>
<CEn>
<Rzo>","<CEn>RDCF 
<Rzo>BDB070 
<CCo>RDC",,KSI210002071
,,,,0016,,,,,Возвышение кордона причала,BPG_0016,Проектное значение возвышения кордона причала определяется величиной возвышения прикордонной территории причала над уровнем отсчета,СП 350.1326000.2018,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002073
,,,,0017,,,,,"Высота подъема фуникулеров, подъемников, канатных дорог",BPG_0017,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002074
,,,,0018,,,,,Диаметр тоннеля,BPG_0018,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002077
,,,,0019,,,,,Площадь выставочных залов,BPG_0019,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002113
,,,,0020,,,,,Площадь офисных помещений,BPG_0020,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002114
,,,,0021,,,,,Ширина земляного полотна,BPG_0021,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002115
,,,,0022,,,,,Ширина обочин,BPG_0022,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002116
,,,,0023,,,,,Ширина полосы безопасности,BPG_0023,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002117
,,,,0024,,,,,Ширина проезжей части,BPG_0024,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002118
,,,,0025,,,,,Ширина разделительной полосы,BPG_0025,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002119
,,,,0026,,,,,Развернутая длина главных ж/д путей,BPG_0026,"Суммарная протяженность главных путей, включая съезды между ними и двухпутные вставки. Выделяется протяженность бесстыкового пути, пути с термически упрочненными рельсами и на железобетонных шпалах","Приказ Росстата от 29.12.2017 N 887
""Об утверждении методологических положений по статистике транспорта""",Числовой,,,,,"<CCo>
<CEn>
<RZo>
<Com>
<FnS>
<TeS>",,,KSI210002149
,,,,0027,,,,,Полезная длина железнодорожного пути,BPG_0027,"Часть железнодорожного пути, ограниченная:
1) с одной стороны выходным (маршрутным, маневровым) светофором, с другой - изолирующим стыком путевого участка рельсовой цепи - при наличии светофоров и электрической изоляции железнодорожного пути;
2) с одной стороны светофором, с другой - предельным столбиком - при наличии светофоров и отсутствии электрической изоляции железнодорожного пути;
3) предельными столбиками с обеих сторон - при отсутствии светофоров и электрической изоляции железнодорожного пути.","Приказ Минтранса России от 23.06.2022 N 250 ""Об утверждении Правил технической эксплуатации железных дорог Российской Федерации""",Числовой,,,,,"<CCo>
<CEn>
<RZo>
<Com>
<FnS>
<TeS>",,,KSI210002150
,,T,,,,,Теплотехнические,,,BPT_,,,,,,,,,,,KSI210000518
,,,,0001,,,,,ГСОП,BPT_0001,Произведение продолжительности отопительного периода в сутках и разности между средними температурами внутреннего воздуха в здании и наружного воздуха за отопительный период,ГОСТ Р 55656-2013 (ИСО 13790:2008),Числовой,,,,,"<CCo>
<CEn>",,,KSI210000519
,,,,0002,,,,,Обеспеченная тепловая нагрузка,BPT_0002,"Количество теплоты, получаемое от источников теплоты, равное сумме мощностей приемников теплоты и потерь теплоты в единицу времени",СТО НОСТРОЙ 2.23.166-2014,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000520
,,,,0003,,,,,Температура воздуха наиболее холодной пятидневки,BPT_0003,"Температура, определяемая по средним суточным температурам воздуха скользящим осреднением за пять суток",ГОСТ Р 55913-2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000521
,,,,0004,,,,,Температура наружного воздуха,BPT_0004,Температура наружного воздуха по сухому термометру,ГОСТ 33864-2016,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000522
,,,,0005,,,,,Удельный расход тепловой энергии,BPT_0005,"Количество теплоты за отопительный период, необходимое для поддержания в здании нормируемых параметров, отнесенное к 1 кв.м общей площади квартир жилого здания или полезной площади общественного здания",ТСН 23-304-99 г. Москвы (МГСН 2.01-99),Числовой,,,,,"<CCo>
<CEn>",,,KSI210000523
,,,,0006,,,,,Средняя температура наружного воздуха отопительного периода,BPT_0006,"Расчетная температура наружного воздуха, осредненная за отопительный период по средним суточным температурам наружного воздуха.",СП 50.13330.2024,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000524
,,M,,,,,Физико-механические,,,BPM_,Примечание: Принимается по данным метеорологической службы.,,,,,,,,,,KSI210000525
,,C,,,,,Физико-химические,,,BPC_,,,,,,,,,,,KSI210000526
,,E,,,,,Электротехнические,,,BPE_,,,,,,,,,,,KSI210000527
,,,,0001,,,,,Категория молниезащиты,BPE_0001,Оценка возможных последствий ударов молнии на защищаемом объекте,СТО 083-004-2010,Из списка,"I
II
III",,,,"<CCo>
<CEn>",,,KSI210000528
,,,,0002,,,,,Обеспеченная мощность ЭС строительства,BPE_0002,,СП 333.1325800.2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000529
,,,,0003,,,,,Категория электроприемника,BPE_0003,"Категория электроприемника в отношении обеспечения надежности электроснабжения, которая определяется в процессе проектирования системы электроснабжения на основании нормативной документации, а также технологической части проекта","Правила устройства электроустановок (ПУЭ)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Из списка,"1-й категории
2-й категории
3-й категории",,ПР 10 30 20,,"<CCo>
<CEn>",,,KSI210000530
,,,,0005,,,,,Максимальная мощность ЭС,BPE_0005,,СП 333.1325800.2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000531
,,L,,,,,"Оптические, световые",,,BPL_,,,,,,,,,,,KSI210000532
,,A,,,,,Акустические,,,BPA_,,,,,,,,,,,KSI210000533
,,W,,,,,Весовые,,,BPW_,,,,,,,,,,,KSI210000534
,,D,,,,,Динамические,,,BPD_,,,,,,,,,,,KSI210000535
,,F,,,,,Воздействия ,,,BPF_,,,,,,,,,,,KSI210000536
,,,,0001,,,,,Категория пожарной и взрывопожарной опасности,BPF_0001,"Классификационная характеристика пожарной (взрывопожарной) опасности здания (или частей здания между противопожарными стенами - пожарных отсеков), сооружения, строения, помещения, наружной установки. 
По взрывопожарной и пожарной опасности помещения подразделяются на категории А, Б, В1-В4, Г и Д, а здания - на категории А, Б, В, Г и Д.","СП 12.13130.2009 
Федеральный закон от 22.07.2008 N 123-ФЗ ",Из списка,"А
Б
В1
В2
В3
В4
Г
Д
н/н",,ПР 60 15 10 24,,"<CCo>
<CEn> <RZo>",,,KSI210000537
,,,,0002,,,,,Класс конструктивной пожарной опасности здания,BPF_0002,Степень участия строительных конструкций в развитии пожара и образовании его опасных факторов,Федеральный закон от 22.07.2008 N 123-ФЗ,Из списка,"С0
С1
С2
С3",,,,"<CCo>
<CEn>",,,KSI210000538
,,,,0003,,,,,Класс сейсмостойкости,BPF_0003,"Характеристика здания или сооружения, определяющая его сейсмостойкость, зависящая от расчетного сейсмического воздействия, на которое проектировалось здание или сооружение, и от категории его технического состояния на момент назначения класса сейсмостойкости",СП 442.1325800.2019 ,Из списка,"C5
C6
C7
C8
C9
C10",,,,"<CCo>
<CEn>",,,KSI210000539
,,,,0004,,,,,"Класс функциональной пожарной опасности зданий, сооружений и пожарных отсеков",BPF_0004,"Классификационная характеристика зданий, сооружений и пожарных отсеков, определяемая назначением и особенностями эксплуатации указанных зданий и сооружений, в том числе особенностями осуществления в указанных зданиях и сооружениях технологических процессов производства",Федеральный закон от 22.07.2008 N 123-ФЗ,Из списка,"Ф1;
Ф1.1;
Ф1.2;
Ф1.3;
Ф1.4;
Ф2;
Ф2.1;
Ф2.2;
Ф2.3;
Ф2.4;
Ф3;
Ф3.1;
Ф3.2;
Ф3.3;
Ф3.4;
Ф3.5;
Ф3.6;
Ф3.7;
Ф4;
Ф4.1;
Ф4.2;
Ф4.3;
Ф4.4;
Ф5;
Ф5.1;
Ф5.2;
Ф5.3",,ПР 10 30 16,,"<CCo>
<CEn>",,,KSI210000540
,,,,0005,,,,,Нормативное ветровое давление,BPF_0005,Характерный скоростной напор нормативного ветра для каждого ветрового района,ГОСТ Р 56728-2015,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000541
,,,,0006,,,,,Нормативный вес снегового покрова,BPF_0006,"Нормативное значение веса снегового покрова на 1 м2 горизонтальной поверхности для отдельной территории Российской Федерации
в зависимости от снегового района", СП 20.13330.2016,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000542
,,,,0007,,,,,Количество баллов по шкале MKS-64,BPF_0007,"Единица измерения силы землетрясения по макросейсмической шкале интенсивности (шкала Медведева, Шпонхойера, Карника, версия 1964 г.)","СП 14.13330.2018
ГОСТ Р 57546-2017",Числовой,,,,,"<CCo>
<CEn>",,,KSI210000543
,,,,0009,,,,,Карта ОСР-2015,BPF_0009,"Отдельная карта, входящая в комплект карт общего сейсмического районирования ОСР-2015, которая выделяет в масштабах страны территории, однородные с точки зрения сейсмической опасности, для целей планирования развития регионов, размещения и проектирования объектов массового строительства, и отличающаяся вероятностью возможного превышения расчетной сейсмической интенсивности в каждом из пунктов в течение 50 лет",СП 14.13330.2018,Из списка,"A
B
C",,,,"<CCo>
<CEn>",,,KSI210000544
,,,,0010,,,,,Нагрузка на ось,BPF_0018,"Вертикальная статическая нагрузка железнодорожного подвижного состава, передающаяся на железнодорожный путь и отнесенная к одной колесной паре, с учетом фактического расположения центра тяжести надрессорного строения",СП 119.13330.2024,Числовой,,,,,"<CEn>
<Com>
<Rzo>
<FnS>
<TeS>",,,KSI210002147
,,P,,,,,Давление,,,BPP_,,,,,,,,,,,KSI210000545
,,,,0001,,,,,Гарантированное давление ГВС,BPP_0001,"Давление на вводе абонента, которое гарантированно обеспечивает водоснабжающая организация по техническим условиям",СП 30.13330.2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000546
,,,,0002,,,,,Гарантированное давление ХВС,BPP_0002,"Давление на вводе абонента, которое гарантированно обеспечивает водоснабжающая организация по техническим условиям",СП 30.13330.2020,Числовой,,,,,"<CCo>
<CEn>",,,KSI210000547
,,,,0003,,,,,Максимальное давление измеряемой среды,BPP_0003,,,Числовой,,,,,"<CCo>
<CEn>",,,KSI210002099
