code,level_1,level_2,level_3,level_4,IFC,param_1
ЭЛ 10,"Земляные сооружения, фундаменты",,,,,
ЭЛ 10 10,,Фундаменты,,,,
ЭЛ 10 10 05,,,Фундаментное основание,,ifcFooting,
ЭЛ 10 10 10,,,Свая,,ifcPile,
ЭЛ 10 10 15,,,Фундамент ленточный,,ifcFooting,STRIP_FOOTING
ЭЛ 10 10 20,,,Фундамент столбчатый,,ifcFooting,PAD_FOOTING
ЭЛ 10 10 25,,,Фундаментная плита,,ifcSlab,BASESLAB
ЭЛ 10 10 30,,,Фундамент общего назначения,,ifcFooting,
ЭЛ 10 10 35,,,Фундаментная балка,,ifcFooting,FOOTING_BEAM
ЭЛ 10 10 40,,,Фундаментный блок,,ifcFooting,STRIP_FOOTING
ЭЛ 10 10 45,,,Подливка фундамента,,ifcSlab,BASESLAB
ЭЛ 10 10 50,,,Подколонник,,ifcFooting,PAD_FOOTING
ЭЛ 10 10 55,,,Ростверк,,ifcFooting,PILE_CAP
ЭЛ 10 10 60,,,Балка ростверка,,ifcFooting,PILE_CAP
ЭЛ 10 10 65,,,Бетонная подготовка,,ifcSlab,BASESLAB
ЭЛ 10 10 70,,,Кесонный фундамент,,ifcFooting,CAISSON_FOUNDATION	
ЭЛ 10 20,,Подпорные стены,,,,
ЭЛ 10 20 10,,,Несущая стена в грунте,,ifcFooting,
ЭЛ 10 20 20,,,Шпунт Ларсена,,ifcPile,
ЭЛ 10 20 30,,,Шпунт,,ifcPile,
ЭЛ 10 20 40,,,Подпорная стена,,IfcWall,SHEAR
ЭЛ 10 20 50,,,Габион,,,
ЭЛ 10 25,,Укрепление грунта,,,,
ЭЛ 10 25 10,,,Трамбовка,,IfcReinforcedSoil,DYNAMICALLYCOMPACTED
ЭЛ 10 25 20,,,Инъекционный метод,,IfcReinforcedSoil,GROUTED
ЭЛ 10 25 30,,,Замена грунтовой подушки,,IfcReinforcedSoil,REPLACED
ЭЛ 10 25 40,,,Укатка,,IfcReinforcedSoil,ROLLERCOMPACTED
ЭЛ 10 25 50,,,Предварительное обжатие грунтов,,IfcReinforcedSoil,SURCHARGEPRELOADED
ЭЛ 10 25 60,,,Вертикальный дренаж грунта,,IfcReinforcedSoil,VERTICALLYDRAINED
ЭЛ 10 30,,Компоненты для защиты фундаментов,,,,
ЭЛ 10 30 10,,,Изоляция,,ifcCovering,INSULATION
ЭЛ 10 30 20,,,Пароизоляция,,ifcCovering,MEMBRANE
ЭЛ 10 30 30,,,Гидроизоляция,,ifcCovering,MEMBRANE
ЭЛ 10 30 40,,,Отмостка,,IfcSlab,
ЭЛ 10 40,,Земляные сооружения,,,,
ЭЛ 10 40 10,,,Банкет,,,
ЭЛ 10 40 20,,,Берма,,,
ЭЛ 10 40 30,,,Вал,,,
ЭЛ 10 40 40,,,Выемка,,,
ЭЛ 10 40 50,,,Канава,,,
ЭЛ 10 40 60,,,Котлован,,,
ЭЛ 10 40 70,,,Кювет,,,
ЭЛ 10 40 80,,,Насыпь,,,
ЭЛ 10 40 90,,,Траншея,,,
ЭЛ 20,Кровля,,,,,
ЭЛ 20 10,,Покрытие кровли,,,ifcRoof,
ЭЛ 20 20,,Элементы конструкции кровли,,,,
ЭЛ 20 20 05,,,Брандмауэр,,ifcWall,
ЭЛ 20 20 06,,,Парапет кровли,,ifcWall,
ЭЛ 20 20 10,,,Контробрешетка,,IfcMember,
ЭЛ 20 20 15,,,Карнизная доска,,IfcMember,
ЭЛ 20 20 20,,,Мауэрлат,,ifcBeam,
ЭЛ 20 20 25,,,Деревянный брус,,IfcMember,
ЭЛ 20 20 30,,,Обрешетка,,IfcMember,
ЭЛ 20 20 35,,,Стропильная балка,,ifcBeam,
ЭЛ 20 20 36,,,Стропильная ферма,,,
