code,level_1,level_2,level_3,level_4,param_1,param_2
СС 10,Конструктивные системы,,,,,
СС 10 10,,Фундаменты,,,,
СС 10 10 10,,,Ленточный,,,
СС 10 10 10 10,,,,Сборный,,
СС 10 10 10 20,,,,Монолитный,,
СС 10 10 20,,,Свайный,,,
СС 10 10 30,,,Винтовой,,,
СС 10 10 40,,,Столбчатый,,,
СС 10 10 50,,,Плитный,,,
СС 10 10 90,,,Прочий,,,
СС 10 20,,Несущая конструкция здания,,,,
СС 10 20 10,,,Стеновая система,,,Самая распространенная в жилищном строительстве зданий до 30 этажей. Несущими элементами являются стены.
СС 10 20 20,,,Каркасная система,,,Каркасная система с пространственным рамным каркасом применяется преимущественно в строительстве многоэтажных зданий (9 и более этажей).
СС 10 20 30,,,Ствольная система,,,Ствольная система применяется в зданиях высотой более 16 этажей.
СС 10 20 40,,,Оболочковая система,,,"Оболочковая система присуща уникальным высотным зданиям, административного или многофункционального назначения."
СС 10 20 50,,,Каркасно-стеновая система,,,
СС 10 20 60,,,Каркасно-ствольная система,,,
СС 10 20 70,,,Ствольно-стеновая система,,,
СС 10 20 90,,,Прочая,,,
СС 10 20 хх 10,,,,"Ограждающие конструкции -кирпич; несущие - железобетон, сталь, кирпич",КС-1,Классификация КО-ИНВЕСТ
СС 10 20 хх 20,,,,"Ограждающие конструкции -мелкие стеновые ячеистые и слоистые блоки; несущие -железобетон, сталь",КС-1А,Классификация КО-ИНВЕСТ
СС 10 20 хх 30,,,,Ограждающие конструкции -кирпич; несущие - древесина,КС-2,Классификация КО-ИНВЕСТ
СС 10 20 10 40,,,,Ограждающие конструкции -железобетон; несущие -железобетон в стеновых системах,КС-3,Классификация КО-ИНВЕСТ
СС 10 20 20 50,,,,Ограждающие конструкции -железобетон; несущие -железобетон в каркасных системах,КС-4,Классификация КО-ИНВЕСТ
СС 10 20 хх 60,,,,Ограждающие конструкции -железобетон; несущие - сталь,КС-5,Классификация КО-ИНВЕСТ
СС 10 20 хх 70,,,,"Ограждающие конструкции -тонкий металлический лист и эффективные теплоизоляционные материалы; несущие - железобетон, сталь (кроме ЛСТК)",КС-6,Классификация КО-ИНВЕСТ ЛСТК - легкие стальные тонкостенные конструкции
СС 10 20 хх 80,,,,"Ограждающие конструкции -стекло, светопрозрачные материалы; несущие -железобетон, сталь (кроме ЛСТК)",КС-6А,Классификация КО-ИНВЕСТ
СС 10 20 хх 90,,,,Ограждающие конструкции -древесина; несущие - древесина и другие конструктивные материалы,КС-7,Классификация КО-ИНВЕСТ
СС 10 30,,Несущие конструкции сооружений,,,,Классификация КО-ИНВЕСТ
СС 10 30 хх 10,,,,Конструкция из нерудных материалов и бетона,КС-8,Классификация КО-ИНВЕСТ
СС 10 30 хх 20,,,,Конструкция из монолитного железобетона,КС-9,Классификация КО-ИНВЕСТ
СС 10 30 хх 30,,,,Конструкция из сборного железобетона,КС-10,Классификация КО-ИНВЕСТ
СС 10 30 хх 40,,,,Конструкция из конструкционной стали,КС-11,Классификация КО-ИНВЕСТ
СС 10 30 хх 50,,,,Конструкция из стальных труб,КС-12,Классификация КО-ИНВЕСТ
СС 10 30 хх 60,,,,Конструкция из древесины,КС-13,Классификация КО-ИНВЕСТ
СС 10 30 хх 70,,,,Конструкция из кабелей и проводов,КС-14,Классификация КО-ИНВЕСТ
СС 10 30 хх 80,,,,Благоустройство прилегающей территории (озеленение),КС-15,Классификация КО-ИНВЕСТ
СС 10 40,,Кровли,,,,
СС 10 40 10,,,Плоская,,,
СС 10 40 20,,,Односкатная,,,
СС 10 40 30,,,Двускатная,,,
СС 10 40 40,,,Вальмовая четырехскатная,,,
СС 10 40 50,,,Полувальмовая,,,
СС 10 40 60,,,Многощипцовая,,,
СС 10 40 70,,,Шатровая,,,
СС 10 40 80,,,Мансардная,,,
СС 10 40 90,,,Прочая,,,
СС 10 45,,Система снегозадержания,,,,
СС 10 50,,Фасадные системы,,,,
СС 10 50 10,,,ФТКС,,,фасадные теплоизоляционные композиционные системы с наружными штукатурными слоями
СС 10 50 20,,,НФС,,,навесные фасадные системы с воздушным зазором
СС 10 50 30,,,НСФС,,,навесные светопрозрачные фасадные системы
СС 20,Системы освещения,,,,,
СС 20 10,,Системы искусственного освещения,,,,
СС 20 10 10,,,Система общего освещения,,,
СС 20 10 20,,,Система комбинированного освещения,,,
СС 20 10 30,,,Система дежурного освещения,,,
СС 20 10 40,,,Система аварийного освещения,,,
СС 20 10 40 10,,,,Освещение безопасности,,
СС 20 10 40 20,,,,Эвакуационное освещение,,
СС 20 10 50,,,Система светового ограждения,,,
СС 20 10 60,,,Система авиационного освещения,,,
СС 20 10 90,,,Прочая,,,
СС 30,Инженерные системы внутренние,,,,,
СС 30 10,,Система теплоснабжения,,,,
СС 30 15,,Система холодоснабжения,,,,
СС 30 20,,Системы климатизации,,,,
СС 30 20 10,,,Система отопления,,,
СС 30 20 10 10,,,,Подающий трубопровод,,
СС 30 20 10 20,,,,Обратный трубопровод,,
СС 30 20 20,,,Система общеобменной вентиляции,,,
СС 30 20 25,,,Система технологической вентиляции,,,
СС 30 20 30,,,Система кондиционирования воздуха,,,
СС 30 25,,Система противодымной защиты,,,,
СС 30 25 10,,,Противодымная вентиляции,,,
СС 30 25 10 10,,,,Дымоудаление,,
СС 30 25 10 20,,,,Подпор воздуха,,
СС 30 30,,Системы обеспечения пожарной безопасности,,,,
СС 30 30 10,,,Система пожарной сигнализации,,,
СС 30 30 20,,,Система противопожарной защиты,,,
СС 30 30 30,,,Система пожаротушения,,,
СС 30 30 30 10,,,,Противопожарный водопровод,,
СС 30 30 30 20,,,,Противопожарный трубопровод,,
СС 30 30 40,,,Спринклерная система,,,
СС 30 30 40 10,,,,Водонаполненная спринклерная система,,
СС 30 30 40 20,,,,Воздушная спринклерная система,,
СС 30 30 50,,,Дренчерная система,,,
СС 30 30 50 10,,,,Водонаполненная дренчерная система,,
СС 30 30 50 20,,,,Воздушная дренчерная система,,
СС 30 30 60,,,Система передачи извещений о пожаре,,,
СС 30 35,,Системы водоснабжения,,,,
СС 30 35 10,,,Система водоснабжения,,,
СС 30 35 10 10,,,,Горячее водоснабжение,,
СС 30 35 10 20,,,,Оборотное водоснабжение,,
СС 30 35 10 30,,,,Производственное водоснабжение,,
СС 30 35 10 40,,,,Техническое водоснабжение,,
СС 30 35 10 50,,,,Хозяйственно-питьевое водоснабжение,,
СС 30 35 10 60,,,,Холодное водоснабжение,,
СС 30 40,,Система водоотведения,,,,
СС 30 40 10,,,Система водоотведения,,,
СС 30 40 10 10,,,,Система хозяйственно-бытовой канализации,,
СС 30 40 10 20,,,,Система наружного водостока,,
СС 30 40 10 30,,,,Система внутреннего водостока,,
СС 30 40 10 40,,,,Система дождевой канализации,,
СС 30 40 10 50,,,,Система дренажной канализации,,
