c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts
X,,,,,Универсальный,,,,,X___,,,,,,,,,
,N,,,,,Идентификация,,,,XN__,,,,,,,,,
,,K,,,,,Идентификация КСИ,,,XNK_,,,,,,,,,
,,,C,,,,,Класс КСИ,,XNKC,,,,,,,,,
,,,,0001,,,,,КСИ Код класса,XNKC0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0002,,,,,КСИ Наименование класса,XNKC0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0003,,,,,КСИ Класс строительной информации,XNKC0003,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0004,,,,,КСИ Составной код,XNKC0004,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,F,,,,,Функциональный аспект,,XNKF,,,,,,,,,
,,,,0001,,,,,КСИ Функциональный код,XNKF0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0002,,,,,КСИ Функциональный код многоуровневый,XNKF0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,P,,,,,Аспект продукта,,XNKP,,,,,,,,,
,,,,0001,,,,,КСИ Код продукта,XNKP0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0002,,,,,КСИ Код продукта многоуровневый,XNKP0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,L,,,,,Аспект положения,,XNKL,,,,,,,,,
,,,,0001,,,,,КСИ Место расположения,XNKL0001,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,,,0002,,,,,КСИ Точка расположения,XNKL0002,,ГОСТ Р 58908.12-2020 (ИСО 81346-12:2018),Текстовый,,,,,,
,,C,,,,,Классификаторы,,,XNC_,,,,,,,,,
,,,C,,,,,Общероссийские классификаторы,,XNCC,,,,,,,,,
,,,,0001,,,,,Код КСР,XNCC0001,Классификатор строительных ресурсов,,Текстовый,,,,,"<CMa>
<CPr>
<ARe>",
,,,,0002,,,,,Код ОКОГУ,XNCC0002,,,Текстовый,,,,,,
,,,,0003,,,,,Код ОКОК,XNCC0003,Общероссийский классификатор информации об общероссийских классификаторах,,Текстовый,,,,,,
,,,,0004,,,,,Код ОКОПФ,XNCC0004,,,Текстовый,,,,,,
,,,,0005,,,,,Код ОКПО,XNCC0005,,,Текстовый,,,,,,
,,,,0006,,,,,Код ОКФС,XNCC0006,,,Текстовый,,,,,,
,,,,0007,,,,,Код ОКУД,XNCC0007,,,Текстовый,,,,,,
,,,,0008,,,,,Код ОКИН,XNCC0008,Общероссийский классификатор информации о населении,,Текстовый,,,,,,
,,,,0009,,,,,Код ОКИСЗН,XNCC0009,Общероссийский классификатор информации по социальной защите населения,,Текстовый,,,,,,
,,,,0010,,,,,Код ОКГР,XNCC0010,Общероссийский классификатор гидроэнергетических ресурсов,,Текстовый,,,,,,
,,,,0011,,,,,Код ОКПИиПВ,XNCC0011,Общероссийский классификатор полезных ископаемых и подземных вод,,Текстовый,,,,,,
,,,,0012,,,,,Код ОКПДТР,XNCC0012,,,Текстовый,,,,,,
,,,,0013,,,,,Код ОКНПО,XNCC0013,,,Текстовый,,,,,,
,,,,0014,,,,,Код ОСКВНК,XNCC0014,Общероссийский классификатор специальностей высшей научной квалификации ,,Текстовый,,,,,,
,,,,0015,,,,,Код ОКСО,XNCC0015,,,Текстовый,,,,,,
,,,,0016,,,,,Код ОКЗ,XNCC0016,,,Текстовый,,,,,,
,,,,0017,,,,,Код ЕСКД,XNCC0017,,,Текстовый,,,,,,
,,,,0018,,,,,Код ОКД,XNCC0018,"Общероссийский классификатор деталей, изготавливаемых сваркой, пайкой, склеиванием и термической резкой ",,Текстовый,,,,,,
,,,,0019,,,,,Код ОКЕИ,XNCC0019,Общероссийский классификатор единиц измерения,,Текстовый,,,,,,
,,,,0020,,,,,Код ОТКД,XNCC0020,Общероссийский технологический классификатор деталей машиностроения и приборостроения ,,Текстовый,,,,,,
,,,,0021,,,,,Код ОТКСЕ,XNCC0021,Общероссийский технологический классификатор сборочных единиц машиностроения и приборостроения,,Текстовый,,,,,,
,,,,0022,,,,,Код ОКВЭД,XNCC0022,Общероссийский классификатор видов экономической деятельности,,Текстовый,,,,,,
,,,,0023,,,,,Код ОКВЭД 2,XNCC0023,Общероссийский классификатор видов экономической деятельности,,Текстовый,,,,,,
,,,,0024,,,,,Код ОКДП,XNCC0024,,,Текстовый,,,,,,
,,,,0025,,,,,Код ОКОНХ,XNCC0025,Общероссийский классификатор отраслей народного хозяйства,,Текстовый,,,,,,
,,,,0026,,,,,Код ОКПД,XNCC0026,Общероссийский классификатор продукции по видам экономической деятельности,,Текстовый,,,,,,
,,,,0027,,,,,Код ОКПД 2,XNCC0027,Общероссийский классификатор продукции по видам экономической деятельности,,Текстовый,,,,,,
,,,,0028,,,,,Код ОКУН,XNCC0028,,,Текстовый,,,,,,
,,,,0029,,,,,Код КИЕС,XNCC0029,Классификатор институциональных единиц по секторам экономики,,Текстовый,,,,,,
,,,,0030,,,,,Код ОКАТО,XNCC0030,Общероссийский классификатор объектов административно-территориального деления,,Текстовый,,,,,,
,,,,0031,,,,,Код ОКВ,XNCC0031,Общероссийский классификатор валют,,Текстовый,,,,,,
,,,,0032,,,,,Код ОКСМ,XNCC0032,Общероссийский классификатор стран мира,,Текстовый,,,,,,
,,,,0033,,,,,Код ОКТМО,XNCC0033,Общероссийский классификатор территорий муниципальных образований,,Текстовый,,,,,,
,,,,0034,,,,,Код ОКЭР,XNCC0034,Общероссийский классификатор экономических регионов,,Текстовый,,,,,,
,,,,0035,,,,,Код КГС,XNCC0035,Классификатор государственных стандартов ,,Текстовый,,,,,,
,,,,0036,,,,,Код ТНВЭД,XNCC0036,Товарная номенклатура внешнеэкономической деятельности Евразийского экономического союза,,Текстовый,,,,,,
,,,,0037,,,,,Код ОКВГУМ,XNCC0037,"Общероссийский классификатор видов грузов, упаковки и упаковочных материалов",,Текстовый,,,,,,
