Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Код по классификатору МССК,Синонимы
A,,,,,,Регламентирующая и регулирующая информация,"Нормативные акты и документы, регламентирующие и регулирующие деятельность в строительстве",,По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,AA,,,,,Нормативно-правовой акт,"Письменный официальный документ, принятый (изданный) в определенной форме правотворческим органом в пределах его компетенции и направленный на установление, изменение или отмену правовых норм","Постановление Госстроя России от 13.10.2003 N 183
МДС от 13.10.2003 N 12-16.2003",По видам регламентирующей и регулирующей информации,,Сформулировано на основании результата анализа источников,,
,,AAA,,,,Международно-правовой акт,"Официальный правоприменительный акт, отражающийся в конкретных формах международных договоров международных обычаев, актов международных организаций и конференций, регулирующих нормы международного права",,,,Сформулировано на основании результата анализа источников,,
,,,AAAA,,,Международный договор,"Официальное соглашение, заключенное в письменной форме, устанавливающее обязательства между двумя или более субъектами международного права (в первую очередь государствами и международными организациями)",Федеральный закон от 15.07.1995 N 101-ФЗ,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA010,Односторонний международный договор,"Одностороннее волеизъявление субъекта международного права, которое при этом несет юридические последствия исключительно для данного субъекта",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA020,Двусторонний международный договор,"Международный договор, заключенный между двумя субъектами международного права. Также, в подобном договоре возможны иные ситуации, например, участие с одной стороны единственного государства, а со второй – сразу нескольких.",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA030,Многосторонний международный договор,"Международный договор, где участниками выступают трое и больше субъектов международного права",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA040,Общий многосторонний международный договор,"Международный договор, который заключается между несколькими государствами, но значение имеет для всего или подавляющей части мирового сообщества",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA050,Универсальный международный договор,"Международный договор, в котором принимают участие все или почти все государства, являющиеся членами мирового сообщества",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA060,Региональный международный договор,"Международный договор, участниками которого становятся государства, относящиеся к какому-либо конкретному географическому региону, на который и распространяется его действие",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA070,Субрегиональный международный договор,"Международный договор, участниками которого становятся страны, находящиеся внутри региона",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA080,Открытый международный договор,"Международный договор, свободный для присоединения любого заинтересованного государства",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA090,Закрытый международный договор,"Международный договор, для которого невозможно присоединение других государств и в котором участвуют только те государства, которые его заключили",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA100,Условно-открытый международный договор,"Международный договор, к которому могут присоединиться заинтересованные государства при определенных условиях",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA110,Межгосударственный международный договор,"Международный договор, участниками которого являются страны",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA120,Межправительственный международный договор,"Международный договор, участниками которого выступают правительства",,,,Сформулировано на основании результата анализа источников,,
,,,,,AAAA130,Межведомственный международный договор,"Международный договор, при котором создают отношения между некими частями исполнительной ветви власти, такими как министерства, ведомства и т.д.",,,,Сформулировано на основании результата анализа источников,,
